PNA;NAZWA PLACÓWKI;MIEJSCOWOŚĆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
10-687;UP Olsztyn 10;Olsztyn;Kazimierza Jaroszyka;21;Olsztyn;Olsztyn;warmińsko-mazurskie
10-955;UP Olsztyn 10;skrytki/przegródki;;;Olsztyn;Olsztyn;warmińsko-mazurskie
10-677;FUP Olsztyn 10;Bartąg;Tęczowy Las;5/U4;Stawiguda;olsztyński;warmińsko-mazurskie
10-694;FUP Olsztyn 10;Olsztyn;Edwarda Abramowskiego;7;Olsztyn;Olsztyn;warmińsko-mazurskie
10-694;FUP Olsztyn 10;Olsztyn;gen. Józefa Hallera;2;Olsztyn;Olsztyn;warmińsko-mazurskie
10-695;FUP Olsztyn 10;Olsztyn;Immanuela Kanta;1/34;Olsztyn;Olsztyn;warmińsko-mazurskie
10-718;FUP Olsztyn 10;Olsztyn;Michała Oczapowskiego;12;Olsztyn;Olsztyn;warmińsko-mazurskie
10-691;FUP Olsztyn 10;Olsztyn;Henryka Panasa;1A;Olsztyn;Olsztyn;warmińsko-mazurskie
11-030;FUP Olsztyn 10;Purda;;66;Purda;olsztyński;warmińsko-mazurskie
11-034;FUP Olsztyn 10;Stawiguda;Olsztyńska;11;Stawiguda;olsztyński;warmińsko-mazurskie
10-684;UP Olsztyn 13;Olsztyn;Melchiora Wańkowicza;26;Olsztyn;Olsztyn;warmińsko-mazurskie
10-953;UP Olsztyn 13;skrytki/przegródki;;;Olsztyn;Olsztyn;warmińsko-mazurskie
10-900;PP Olsztyn N102;Olsztyn;Partyzantów;39;Olsztyn;Olsztyn;warmińsko-mazurskie
11-015;UP Olsztynek;Olsztynek;Chopina;15;Olsztynek;olsztyński;warmińsko-mazurskie
11-036;FUP Olsztynek;Gietrzwałd;Olsztyńska;2;Gietrzwałd;olsztyński;warmińsko-mazurskie
59-831;AP Olszyna;Olszyna;Legnicka;47;Olszyna;lubański;dolnośląskie
18-421;AP Olszyny;Olszyny;Wesoła;22 A;Piątnica;łomżyński;podlaskie
33-164;AP Olszyny;Olszyny;;44B;Rzepiennik Strzyżewski;tarnowski;małopolskie
12-100;AP Olszyny;Olszyny;;34;Szczytno;szczycieński;warmińsko-mazurskie
55-208;AP Oława;Oława;Bolesława Chrobrego;23/A;Oława;oławski;dolnośląskie
55-204;AP Oława;Oława;Fryderyka Chopina;17/A;Oława;oławski;dolnośląskie
55-205;AP Oława;Oława;ks. Franciszka Kutrowskiego;29/C;Oława;oławski;dolnośląskie
55-200;AP Oława;Oława;11 Listopada;2/16;Oława;oławski;dolnośląskie
55-207;AP Oława;Oława;3 Maja;4B;Oława;oławski;dolnośląskie
55-200;UP Oława 1;Oława;1 Maja;21;Oława;oławski;dolnośląskie
55-203;FUP Oława 1;Oława;Jarosława Iwaszkiewicza;9;Oława;oławski;dolnośląskie
55-201;FUP Oława 1;Oława;Wrocławska;6;Oława;oławski;dolnośląskie
38-247;AP Ołpiny;Ołpiny;;676;Szerzyny;tarnowski;małopolskie
64-330;UP Opalenica;Opalenica;Adama Mickiewicza;27;Opalenica;nowotomyski;wielkopolskie
83-140;AP Opalenie;Opalenie;Józefa Czyżewskiego;6;Gniew;tczewski;pomorskie
63-646;AP Opatów;Opatów;Pogodna;2/A;Łęka Opatowska;kępiński;wielkopolskie
27-501;AP Opatów;Opatów;Henryka Sienkiewicza;44;Opatów;opatowski;świętokrzyskie
27-500;UP Opatów Kielecki;Opatów;pl. Obrońców Pokoju;23;Opatów;opatowski;świętokrzyskie
27-552;FUP Opatów Kielecki;Baćkowice;;84a;Baćkowice;opatowski;świętokrzyskie
27-570;FUP Opatów Kielecki;Iwaniska;Rynek;2;Iwaniska;opatowski;świętokrzyskie
27-540;FUP Opatów Kielecki;Lipnik;;20;Lipnik;opatowski;świętokrzyskie
27-580;FUP Opatów Kielecki;Sadowie;;131;Sadowie;opatowski;świętokrzyskie
62-860;UP Opatówek;Opatówek;Kościelna;14;Opatówek;kaliski;wielkopolskie
62-874;FUP Opatówek;Brzeziny;1000-lecia;2;Brzeziny;kaliski;wielkopolskie
62-872;FUP Opatówek;Godziesze Wielkie;3 Maja;15;Godziesze Wielkie;kaliski;wielkopolskie
62-840;FUP Opatówek;Koźminek;Tadeusza Kościuszki;5;Koźminek;kaliski;wielkopolskie
62-865;FUP Opatówek;Szczytniki;;5;Szczytniki;kaliski;wielkopolskie
26-300;AP Opoczno;Opoczno;Edmunda Biernackiego;18e;Opoczno;opoczyński;łódzkie
26-302;AP Opoczno;Opoczno;Piotrkowska;60/A;Opoczno;opoczyński;łódzkie
26-300;UP Opoczno 1;Opoczno;Piotrkowska;43;Opoczno;opoczyński;łódzkie
26-307;FUP Opoczno 1;Białaczów;Kościelna;30;Białaczów;opoczyński;łódzkie
26-301;FUP Opoczno 1;Opoczno;Westerplatte;1 M;Opoczno;opoczyński;łódzkie
26-332;FUP Opoczno 1;Sławno;Marszałka Józefa Piłsudskiego;31;Sławno;opoczyński;łódzkie
45-076;UP Opole 1;Opole;Krakowska;46;Opole;Opole;opolskie
45-076;FUP Opole 1;Opole;Franciszka Józefa Buhla;11;Opole;Opole;opolskie
45-921;FUP Opole 1;Opole;Elektrowniana;25;Opole;Opole;opolskie
45-920;FUP Opole 1;Opole;Janiny Kłopockiej;1;Opole;Opole;opolskie
45-076;FUP Opole 1;Opole;Młodej Polski;5;Opole;Opole;opolskie
45-111;FUP Opole 1;Opole;Książąt Opolskich;33;Opole;Opole;opolskie
45-076;FUP Opole 1;Opole;Ludwika Solskiego;1;Opole;Opole;opolskie
45-076;FUP Opole 1;Opole;Plac Teatralny;13;Opole;Opole;opolskie
45-845;FUP Opole 1;Opole;Wspólna;1 N;Opole;Opole;opolskie
45-310;UP Opole 6;Opole;Ozimska;72 a;Opole;Opole;opolskie
45-222;FUP Opole 6;Opole;Chabrów;31;Opole;Opole;opolskie
45-316;FUP Opole 6;Opole;Kielecka;2;Opole;Opole;opolskie
45-286;FUP Opole 6;Opole;Skautów Opolskich;7A;Opole;Opole;opolskie
45-265;FUP Opole 6;Opole;Kazimierza Sosnkowskiego;40/42;Opole;Opole;opolskie
45-273;FUP Opole 6;Opole;Kazimierza Sosnkowskiego;16/24;Opole;Opole;opolskie
45-470;FUP Opole 6;Opole;Tysiąclecia;33;Opole;Opole;opolskie
45-710;UP Opole 7;Opole;Stanisława Spychalskiego;4 D/15;Opole;Opole;opolskie
46-071;FUP Opole 7;Komprachcice;Szkolna;15;Komprachcice;opolski;opolskie
45-865;FUP Opole 7;Opole;Alojzego Dambonia;167;Opole;Opole;opolskie
45-802;FUP Opole 7;Opole;Partyzancka;70 B/5;Opole;Opole;opolskie
45-835;FUP Opole 7;Opole;Wrocławska;152-154/129B;Opole;Opole;opolskie
45-760;FUP Opole 7;Opole;Walerego Wróblewskiego;25;Opole;Opole;opolskie
45-940;FUP Opole 7;Opole (Chmielowice);Dworcowa;1 A;Opole;Opole;opolskie
46-060;FUP Opole 7;Prószków;Rynek;16;Prószków;opolski;opolskie
24-300;UP Opole Lubelskie;Opole Lubelskie;Lubelska;16/U3;Opole Lubelskie;opolski;lubelskie
24-310;FUP Opole Lubelskie;Karczmiska Pierwsze;Centralna;17;Karczmiska;opolski;lubelskie
24-334;FUP Opole Lubelskie;Łaziska;;75;Łaziska;opolski;lubelskie
24-314;FUP Opole Lubelskie;Wilków;;62A;Wilków;opolski;lubelskie
99-322;AP Oporów;Oporów;;16A;Oporów;kutnowski;łódzkie
11-510;AP Orłowo;Orłowo;;39;Wydminy;giżycki;warmińsko-mazurskie
11-130;UP Orneta;Orneta;Mickiewicza;3;Orneta;lidzbarski;warmińsko-mazurskie
11-135;FUP Orneta;Lubomino;Kopernika;9;Lubomino;lidzbarski;warmińsko-mazurskie
62-322;AP Orzechowo;Orzechowo;Bukowa;4;Miłosław;wrzesiński;wielkopolskie
43-180;UP Orzesze;Orzesze;Rybnicka;23;Orzesze;mikołowski;śląskie
43-178;FUP Orzesze;Ornontowice;Zwycięstwa;2A;Ornontowice;mikołowski;śląskie
43-180;FUP Orzesze;Orzesze;Mikołowska;170;Orzesze;mikołowski;śląskie
12-251;AP Orzysz;Orzysz;Giżycka;12;Orzysz;piski;warmińsko-mazurskie
83-221;AP Osiek;Osiek;Partyzantów Kociewskich;69;Osiek;starogardzki;pomorskie
89-333;AP Osiek nad Notecią;Osiek nad Notecią;Główna;33;Wyrzysk;pilski;wielkopolskie
34-234;AP Osielec;Osielec;;870;Jordanów;suski;małopolskie
86-031;UP Osielsko;Osielsko;Centralna;3;Osielsko;bydgoski;kujawsko-pomorskie
86-032;FUP Osielsko;Niemcz;Pod Wierzbami;2a;Osielsko;bydgoski;kujawsko-pomorskie
86-033;FUP Osielsko;Osielsko;Szosa Gdańska;49;Osielsko;bydgoski;kujawsko-pomorskie
18-201;AP Osipy-Kolonia;Osipy-Kolonia;;16;Wysokie Mazowieckie;wysokomazowiecki;podlaskie
38-200;AP Osobnica;Osobnica;;1000A;Jasło;jasielski;podkarpackie
27-639;AP Ossolin;Ossolin;;45;Klimontów;sandomierski;świętokrzyskie
16-141;AP Ostra Góra;Ostra Góra;;17;Korycin;sokólski;podlaskie
32-066;AP Ostrężnica;Ostrężnica;Jana Łachuta;35;Krzeszowice;krakowski;małopolskie
07-400;UP Ostrołęka 1;Ostrołęka;Mikołaja Kopernika;9;Ostrołęka;Ostrołęka;mazowieckie
07-412;FUP Ostrołęka 1;Ostrołęka;gen. Józefa Hallera;13;Ostrołęka;Ostrołęka;mazowieckie
07-410;UP Ostrołęka 2;Ostrołęka;Graniczna;8;Ostrołęka;Ostrołęka;mazowieckie
07-407;FUP Ostrołęka 2;Czerwin;Piastowska;7;Czerwin;ostrołęcki;mazowieckie
07-440;FUP Ostrołęka 2;Goworowo;Rynek;14;Goworowo;ostrołęcki;mazowieckie
07-402;FUP Ostrołęka 2;Lelis;Szkolna;41;Lelis;ostrołęcki;mazowieckie
06-231;FUP Ostrołęka 2;Młynarze;Ostrołęcka;22;Młynarze;makowski;mazowieckie
07-415;FUP Ostrołęka 2;Olszewo-Borki;3-go Maja;1;Olszewo-Borki;ostrołęcki;mazowieckie
07-401;FUP Ostrołęka 2;Ostrołęka;Aleja Wojska Polskiego;42;Ostrołęka;Ostrołęka;mazowieckie
07-410;FUP Ostrołęka 2;Ostrołęka;Aleja Jana Pawła II;4;Ostrołęka;Ostrołęka;mazowieckie
07-409;FUP Ostrołęka 2;Ostrołęka;Janusza Korczaka;4;Ostrołęka;Ostrołęka;mazowieckie
07-413;FUP Ostrołęka 2;Ostrołęka;gen. Władysława Sikorskiego;4;Ostrołęka;Ostrołęka;mazowieckie
07-419;FUP Ostrołęka 2;Ostrołęka;Targowa;24;Ostrołęka;Ostrołęka;mazowieckie
07-417;FUP Ostrołęka 2;Ostrołęka;Stefana Żeromskiego;13;Ostrołęka;Ostrołęka;mazowieckie
06-230;FUP Ostrołęka 2;Różan;Warszawska;8;Różan;makowski;mazowieckie
07-411;FUP Ostrołęka 2;Rzekuń;Kościuszki;40;Rzekuń;ostrołęcki;mazowieckie
07-405;FUP Ostrołęka 2;Troszyn;Szkolna;3;Troszyn;ostrołęcki;mazowieckie
58-260;AP Ostroszowice;Ostroszowice;Bielawska;54;Dzierżoniów;dzierżoniowski;dolnośląskie
76-142;AP Ostrowiec;Ostrowiec;;43A;Malechowo;sławieński;zachodniopomorskie
27-400;AP Ostrowiec Świętokrzyski;Ostrowiec Świętokrzyski;Iłżecka;36/2;Ostrowiec Świętokrzyski;ostrowiecki;świętokrzyskie
27-400;AP Ostrowiec Świętokrzyski;Ostrowiec Świętokrzyski;Rynek Denkowski;10;Ostrowiec Świętokrzyski;ostrowiecki;świętokrzyskie
27-403;AP Ostrowiec Świętokrzyski;Ostrowiec Świętokrzyski;Żabia;40;Ostrowiec Świętokrzyski;ostrowiecki;świętokrzyskie
27-400;UP Ostrowiec Świętokrzyski 1;Ostrowiec Świętokrzyski;Aleja 3 Maja;12;Ostrowiec Świętokrzyski;ostrowiecki;świętokrzyskie
27-423;FUP Ostrowiec Świętokrzyski 1;Bałtów;;32/2;Bałtów;ostrowiecki;świętokrzyskie
27-420;FUP Ostrowiec Świętokrzyski 1;Bodzechów;Szkolna;7;Bodzechów;ostrowiecki;świętokrzyskie
27-440;FUP Ostrowiec Świętokrzyski 1;Ćmielów;Ostrowiecka;19;Ćmielów;ostrowiecki;świętokrzyskie
27-415;FUP Ostrowiec Świętokrzyski 1;Kunów;Warszawska;45A;Kunów;ostrowiecki;świętokrzyskie
27-400;FUP Ostrowiec Świętokrzyski 1;Ostrowiec Świętokrzyski;Adama Mickiewicza;30;Ostrowiec Świętokrzyski;ostrowiecki;świętokrzyskie
27-400;FUP Ostrowiec Świętokrzyski 1;Ostrowiec Świętokrzyski;ks. Józefa Poniatowskiego;8;Ostrowiec Świętokrzyski;ostrowiecki;świętokrzyskie
27-408;FUP Ostrowiec Świętokrzyski 1;Ostrowiec Świętokrzyski;Stanisława Saskiego;3;Ostrowiec Świętokrzyski;ostrowiecki;świętokrzyskie
27-425;FUP Ostrowiec Świętokrzyski 1;Waśniów;Ostrowiecka;7;Waśniów;ostrowiecki;świętokrzyskie
27-405;UP Ostrowiec Świętokrzyski 7;Ostrowiec Świętokrzyski;os. Słoneczne;14;Ostrowiec Świętokrzyski;ostrowiecki;świętokrzyskie
27-400;FUP Ostrowiec Świętokrzyski 7;Ostrowiec Świętokrzyski;11 Listopada;6;Ostrowiec Świętokrzyski;ostrowiecki;świętokrzyskie
27-401;FUP Ostrowiec Świętokrzyski 7;Ostrowiec Świętokrzyski;11 Listopada;3G;Ostrowiec Świętokrzyski;ostrowiecki;świętokrzyskie
27-406;FUP Ostrowiec Świętokrzyski 7;Ostrowiec Świętokrzyski;os. Ogrody;28;Ostrowiec Świętokrzyski;ostrowiecki;świętokrzyskie
27-404;FUP Ostrowiec Świętokrzyski 7;Ostrowiec Świętokrzyski;Polna;84;Ostrowiec Świętokrzyski;ostrowiecki;świętokrzyskie
27-402;FUP Ostrowiec Świętokrzyski 7;Ostrowiec Świętokrzyski;Henryka Sienkiewicza;82;Ostrowiec Świętokrzyski;ostrowiecki;świętokrzyskie
27-220;AP Ostrożanka;Ostrożanka;;52;Mirzec;starachowicki;świętokrzyskie
14-103;AP Ostróda;Ostróda;Stefana Czarnieckiego;25;Ostróda;ostródzki;warmińsko-mazurskie
14-100;UP Ostróda 1;Ostróda;Adama Mickiewicza;15;Ostróda;ostródzki;warmińsko-mazurskie
14-120;FUP Ostróda 1;Dąbrówno;Ostródzka;3;Dąbrówno;ostródzki;warmińsko-mazurskie
14-107;FUP Ostróda 1;Gierzwałd;;27;Grunwald;ostródzki;warmińsko-mazurskie
