PNA;NAZWA PLACÓWKI;MIEJSCOWOŚĆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
32-644;FUP Oświęcim;Zator;Tadeusza Kościuszki;1;Zator;oświęcimski;małopolskie
32-600;AP Oświęcim;Oświęcim;Chemików;7 A;Oświęcim;oświęcimski;małopolskie
32-604;AP Oświęcim;Oświęcim;Adama Mickiewicza;5;Oświęcim;oświęcimski;małopolskie
33-252;AP Otfinów;Otfinów;;261;Żabno;tarnowski;małopolskie
48-385;UP Otmuchów;Otmuchów;Krakowska;6;Otmuchów;nyski;opolskie
48-388;FUP Otmuchów;Kamiennik;Słoneczna;7;Kamiennik;nyski;opolskie
05-805;AP Otrębusy;Otrębusy;Wiejska;1;Brwinów;pruszkowski;mazowieckie
05-404;AP Otwock;Otwock;Wawerska;22A;Otwock;otwocki;mazowieckie
05-400;UP Otwock 1;Otwock;Armii Krajowej;1;Otwock;otwocki;mazowieckie
05-430;FUP Otwock 1;Celestynów;Regucka;3 A;Celestynów;otwocki;mazowieckie
