STATUS;MIEJSCOWOŒÆ;ULICA;NUMERY;GMINA;POWIAT;WOJEWÓDZTWO;POPRZEDNIO;TERAZ
+;S³upsk;Jerzego Bytnerowicza;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Jesionowa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Joachima Lelewela;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Jod³owa;1-DK, 50-66(p);S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Józefa Bema;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Józefa Che³moñskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Józefa Pi³sudskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Józefa Su³kowskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Józefa Wybickiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Juliana Fa³ata;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Juliana Niemcewicza;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Juliana Przybosia;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Juliana Tuwima;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Juliusza Kossaka;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Juliusza S³owackiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Kalinowa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;kard. Stefana Wyszyñskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Karola Borchardta;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Karola Chodkiewicza;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Karola Kniaziewicza;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Karola Szymanowskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Kasztanowa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Kaszubska;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Klonowa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Ko³³¹taja;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Konstantego Ildefonsa Ga³czyñskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Konwaliowa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Kosynierów Gdyñskich;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Koszaliñska;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Kowalska;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Krakusa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Królowej Jadwigi;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Krzysztofa Arciszewskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Krzysztofa Kamila Baczyñskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Krzywa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;ks. Brzóski;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;ks. Jana Ziei;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;ks. Józefa Poniatowskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Ksawerego Dunikowskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Ksiê¿nej Zofii;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Kwiatowa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Legionów Polskich;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Legnicka;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Leonida Teligi;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Leopolda Staffa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Leszczynowa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Leœna;1-DK;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Lipowa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Ludwika Braille'a;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Ludwika Mieros³awskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Ludwika Solskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Ludwika Waryñskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Ludwika Zamenhofa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;£¹kowa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;£ukasza Ciepliñskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Malinowa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Marii Curie-Sk³odowskiej;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Marii D¹browskiej;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Marii Konopnickiej;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Marii Zaborowskiej;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Marty Aluchny-Emelianow;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Maurycego Mochnackiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Micha³a Mostnika;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Mieczys³awa Fogga;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Mieczys³awa Jastruna;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Mieczys³awa Niedzia³kowskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Mieczys³awa Or³owicza;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Miedziana;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Mieszka I;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Miko³aja Kopernika;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Miko³aja Reja;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Miko³ajska;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;mjr. Henryka Sucharskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;MKS Cieœliki;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;M³yñska;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Modrzewiowa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Morska;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Murarska;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Myœliwska;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Na Skarpie;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Na Wzgórzu;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Nad Œluzami;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Nowobramska;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Nowowiejska;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Obroñców Wybrze¿a;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Ogrodowa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Olchowa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Olimpijska;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Orl¹t Lwowskich;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Owocowa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Parkowa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Partyzantów;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Paw³a W³odkowica;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Piastów;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Piekie³ko;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Piotra Skargi;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Piotra Wysockiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;pl. D¹browskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;pl. Stary Rynek;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;pl. W³adys³awa Broniewskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;pl. Zwyciêstwa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;P³owiecka;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Podchor¹¿ych;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Podgórna;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Pogodna;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Policjantów;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Polna;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Pomorska;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Poprzeczna;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Portowa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Powstañców Warszawskich;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Powstañców Wielkopolskich;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Poziomkowa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Poznañska;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;prof. Adama Grucy;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;prof. Eugeniusza Romera;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;prof. Lotha;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Prof. Ludwika Rydygiera;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;prof. Stanis³awa Herbsta;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Prof. Tadeusza Browicza;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;prof. Tadeusza Kotarbiñskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;prof. Wiktora Degi;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Prof. Wiktora Or³owskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;prof. Zbigniewa Religi;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;profesora Kazimierza Micha³owskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Prosta;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Przechodnia;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Przemys³awa II;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Przemys³owa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Psie Pole;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Rabina dr. Maxa Josepha;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Rac³awicka;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Rafa³a Krajewskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Raszyñska;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Romana Awstrica;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Romana Dmowskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Romualda Traugutta;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Ró¿ana;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Rybacka;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Rynek Rybacki;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Ryszarda Riedla;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Rzemieœlnicza;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Sadowa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;S¹dowa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Sierpinka;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;S³oneczna;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;S³owiañska;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Sosnowa;1-DK;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Spacerowa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Spokojna;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Sportowa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Stanis³awa Konarskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Stanis³awa Leszczyñskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Stanis³awa Ma³achowskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Stanis³awa Moniuszki;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Stanis³awa Repelowskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Stanis³awa Sojki;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Stanis³awa Staszica;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Stanis³awa Szarmacha;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Stanis³awa Szpilewskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Stanis³awa Wyspiañskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Stanis³awa ¯ó³kiewskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Stanis³awy Walasiewiczówny;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Stefana Banacha;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Stefana Batorego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Stefana Czarnieckiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Stefana Jaracza;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Stefana Starzyñskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Stefana ¯eromskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Strumykowa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Szarych Szeregów;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Szczeciñska;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Szkolna;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;œw. Klary z Asy¿u;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Œwierkowa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Œwiêtego Ojca Pio;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Œwiêtego Piotra;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Œwiêtope³ka;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Tadeusza Boya-¯eleñskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Tadeusza Czapliñskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Tadeusza Koœciuszki;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Tadeusza Mazowieckiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Tadeusza Nalepy;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Tadeusza Rejtana;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Tadeusza Sygietyñskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Teatralna;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Topolowa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Towarowa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Tramwajowa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Turystyczna;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Wandy;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Wandy Chotomskiej;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Wazów;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Wczasowa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Wêdkarska;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Wiatraczna;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Wiejska;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Wielicka;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Wierzbowa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Wileñska;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Wincentego Kad³ubka;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Wincentego Witosa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Wiœniowa;1-DK, 54-90(p);S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Wita Stwosza;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Witolda Lutos³awskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Witolda Ma³cu¿yñskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;W³adys³awa Bartoszewskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;W³adys³awa Grabskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;W³adys³awa IV;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;W³adys³awa Jagie³³y;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;W³adys³awa Kijowskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;W³adys³awa Kwapisza;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;W³adys³awa £okietka;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;W³adys³awa Orkana;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;W³adys³awa Reymonta;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Wojska Polskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Wolnoœci;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Wroc³awska;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Wysoka;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Zamiejska;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Zamkowa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Zielona;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Ziemowita;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Z³ota;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Zofii Na³kowskiej;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Zygmunta Augusta;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;Zygmunta Krasiñskiego;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;¯elazna;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;¯urawinowa;;S³upsk;S³upsk;pomorskie;;76-200
+;S³upsk;¯wirki i Wigury;;S³upsk;S³upsk;pomorskie;;76-200
-;S³upsk;;;S³upsk;S³upsk;pomorskie;76-200;
+;S³upsk (Boles³awice);Akacjowa;1, 10-12(p), 18-23, 25-28;S³upsk;S³upsk;pomorskie;;76-251
+;S³upsk (Boles³awice);Brzozowa;1-2, 4;S³upsk;S³upsk;pomorskie;;76-251
+;S³upsk (Boles³awice);Bukowa;1, 5-6, 9-10;S³upsk;S³upsk;pomorskie;;76-251
+;S³upsk (Boles³awice);Jaœminowa;1-DK;S³upsk;S³upsk;pomorskie;;76-251
+;S³upsk (Boles³awice);Jod³owa;1, 3-6;S³upsk;S³upsk;pomorskie;;76-251
+;S³upsk (Boles³awice);Kolorowa;;S³upsk;S³upsk;pomorskie;;76-251
+;S³upsk (Boles³awice);Leœna;4-24(p), 15-21(n);S³upsk;S³upsk;pomorskie;;76-251
+;S³upsk (Boles³awice);Morelowa;;S³upsk;S³upsk;pomorskie;;76-251
+;S³upsk (Boles³awice);Sezamkowa;;S³upsk;S³upsk;pomorskie;;76-251
+;S³upsk (Boles³awice);S³upska;;S³upsk;S³upsk;pomorskie;;76-251
+;S³upsk (Boles³awice);Sosnowa;1;S³upsk;S³upsk;pomorskie;;76-251
+;S³upsk (Boles³awice);Têczowa;;S³upsk;S³upsk;pomorskie;;76-251
+;S³upsk (Boles³awice);Wi¹zowa;;S³upsk;S³upsk;pomorskie;;76-251
+;S³upsk (Boles³awice);Wiœniowa;1-DK;S³upsk;S³upsk;pomorskie;;76-251
+;S³upsk (Boles³awice);Wspólna;;S³upsk;S³upsk;pomorskie;;76-251
-;Smolniki (Pogorzele);;;Œlesin;koniñski;wielkopolskie;62-561;
-;Sokolica (Gruda);;;Bartoszyce;bartoszycki;warmiñsko-mazurskie;11-200;
-;Sosnowiec;Aleja Józefa Mireckiego;13-14, 18-46(p), 31, 35-53(n);Sosnowiec;Sosnowiec;œl¹skie;41-205;
+;Sosnowiec;Aleja Józefa Mireckiego;13-14, 18-46(p), 31-53(n);Sosnowiec;Sosnowiec;œl¹skie;;41-205
-;Sosnowiec;Aleja Józefa Mireckiego;22, 31;Sosnowiec;Sosnowiec;œl¹skie;41-200;
#;Sosnowiec;Gottlieba Daimlera;1;Sosnowiec;Sosnowiec;œl¹skie;41-209;41-200
#;Sosnowiec;Gottlieba Daimlera;1;Sosnowiec;Sosnowiec;œl¹skie;41-200;41-209
+;Starobrzeska Kolonia;;;Brzeœæ Kujawski;w³oc³awski;kujawsko-pomorskie;;87-880
-;StaroŸreby (StaroŸreby-Kolonia);;;StaroŸreby;p³ocki;mazowieckie;09-440;
-;Stary Radziejów;;;Radziejów;radziejowski;kujawsko-pomorskie;88-200;
+;Stary Radziejów-Kolonia;;;Radziejów;radziejowski;kujawsko-pomorskie;;88-200
+;Stary Radziejów-Wieœ;;;Radziejów;radziejowski;kujawsko-pomorskie;;88-200
-;Stobno Siódme (Stobno Szóste);;;Godziesze Wielkie;kaliski;wielkopolskie;62-872;
+;Strzelce Krajeñskie (Ma³e Osiedle);;;Strzelce Krajeñskie;strzelecko-drezdenecki;lubuskie;;66-500
+;Studa;;;Bratian;nowomiejski;warmiñsko-mazurskie;;13-332
-;Studa;;;Nowe Miasto Lubawskie;nowomiejski;warmiñsko-mazurskie;13-332;
+;Sucha Ma³a;;;Zawonia;trzebnicki;dolnoœl¹skie;;55-106
+;Sulêcin;;;Pleszew;pleszewski;wielkopolskie;;63-300
+;Suwa³ki;Czarnoziem;;Suwa³ki;Suwa³ki;podlaskie;;16-400
+;Suwa³ki;Stanis³awa Lema;;Suwa³ki;Suwa³ki;podlaskie;;16-400
-;Szaty Wielkie (Rowy);;;Barciany;kêtrzyñski;warmiñsko-mazurskie;11-410;
+;Szczecin;Bulwar Piastowski;;Szczecin;Szczecin;zachodniopomorskie;;70-545
-;Szczecin;Piastowski Bulw.;;Szczecin;Szczecin;zachodniopomorskie;70-545;
+;Szprêgelówka;;;Lipnica;bytowski;pomorskie;;77-139
+;Szubianka;;;Kleczew;koniñski;wielkopolskie;;62-541
+;Szylina Ma³a;;;Bartoszyce;bartoszycki;warmiñsko-mazurskie;;11-200
-;Szylina Wielka (Szylina Ma³a);;;Bartoszyce;bartoszycki;warmiñsko-mazurskie;11-200;
-;Szyszyn (Pole B);;;Œlesin;koniñski;wielkopolskie;62-561;
+;Szyszynek;;;Œlesin;koniñski;wielkopolskie;;62-561
+;Œwiêtoch³owice;Adama Mickiewicza;1-9(n), 4-16(p), 22-24(p);Œwiêtoch³owice;Œwiêtoch³owice;œl¹skie;;41-605
+;Œwiêtoch³owice;Adama Mickiewicza;22-24(p);Œwiêtoch³owice;Œwiêtoch³owice;œl¹skie;;41-600
-;Œwiêtoch³owice;Adama Mickiewicza;;Œwiêtoch³owice;Œwiêtoch³owice;œl¹skie;41-605;
-;Œwiêtoch³owice;S¹dowa;1-2, 5-15(n), 8-24(p);Œwiêtoch³owice;Œwiêtoch³owice;œl¹skie;41-605;
+;Œwiêtoch³owice;S¹dowa;12-18(p), 19-25;Œwiêtoch³owice;Œwiêtoch³owice;œl¹skie;;41-600
+;Œwiêtoch³owice;S¹dowa;1-8, 5-15(n);Œwiêtoch³owice;Œwiêtoch³owice;œl¹skie;;41-605
-;Œwiêtoch³owice;S¹dowa;19-25(n);Œwiêtoch³owice;Œwiêtoch³owice;œl¹skie;41-600;
-;Œwiêty Kamieñ (S³awosze);;;Barciany;kêtrzyñski;warmiñsko-mazurskie;11-410;
-;Taborzec (Glinka);;;Barciany;kêtrzyñski;warmiñsko-mazurskie;11-410;
-;Targowiska (Zalesie);;;Miejsce Piastowe;kroœnieñski;podkarpackie;38-423;
-;Targowo (Zazdroœæ);;;DŸwierzuty;szczycieñski;warmiñsko-mazurskie;12-120;
#;Tarnawa;;1-DK;Zabór;zielonogórski;lubuskie;66-003;66-234
#;Tarnawa;;1-DK;Zabór;zielonogórski;lubuskie;66-234;66-003
-;Tarnowiec (Sucha Ma³a);;;Zawonia;trzebnicki;dolnoœl¹skie;55-106;
+;Trêby Nowe;;;Kleczew;koniñski;wielkopolskie;;62-541
-;Trêby Stare (Grabce);;;Kleczew;koniñski;wielkopolskie;62-541;
+;Trzebielsk;;;Lipnica;bytowski;pomorskie;;77-130
-;Trzebinia;;;Trzebinia;chrzanowski;ma³opolskie;32-540;
+;Tylice;;;Bratian;nowomiejski;warmiñsko-mazurskie;;13-300
-;Tylice;;;Nowe Miasto Lubawskie;nowomiejski;warmiñsko-mazurskie;13-300;
-;Warê¿yn (Podwarê¿yn);;;Siewierz;bêdziñski;œl¹skie;42-510;
+;Warnkowo;;;Nowogard;goleniowski;zachodniopomorskie;;72-200
+;Warszawa;;;Lipnica;bytowski;pomorskie;;77-130
+;Warszawa (Bia³o³êka);Korabów;;Warszawa;Warszawa;mazowieckie;;03-188
+;Warszawa (Mokotów);Aleja Niepodleg³oœci;46/50-80(p), 49-111(n);Warszawa;Warszawa;mazowieckie;;02-626
-;Warszawa (Mokotów);Aleja Niepodleg³oœci;46/50f-80(p), 49-111(n);Warszawa;Warszawa;mazowieckie;02-626;
+;Warszawa (Praga-Po³udnie);Wawerska;2-4(p), 13-19(n);Warszawa;Warszawa;mazowieckie;;03-824
-;Warszawa (Praga-Po³udnie);Wawerska;2-4(p), 15-19(n);Warszawa;Warszawa;mazowieckie;03-824;
-;Warszawa (Praga-Pó³noc);Kijowska;7, 10-11, 12-22(p);Warszawa;Warszawa;mazowieckie;03-743;
+;Warszawa (Praga-Pó³noc);Kijowska;7-27(n), 10-22(p);Warszawa;Warszawa;mazowieckie;;03-743
+;Warszawa (Œródmieœcie);Aleja 3 Maja;14-DK(p);Warszawa;Warszawa;mazowieckie;;00-381
+;Warszawa (Œródmieœcie);Aleje Jerozolimskie;11-35(n);Warszawa;Warszawa;mazowieckie;;00-508
+;Warszawa (Œródmieœcie);Dobra;2-24(p);Warszawa;Warszawa;mazowieckie;;00-388
+;Warszawa (Œródmieœcie);Dobra;26-40(p);Warszawa;Warszawa;mazowieckie;;00-344
-;Warszawa (Œródmieœcie);Dobra;32-40(p);Warszawa;Warszawa;mazowieckie;00-344;
+;Warszawa (Œródmieœcie);Dowcip;1-DK;Warszawa;Warszawa;mazowieckie;;00-051
