STATUS;NAZWA PLACÓWKI;MIEJSCOWOŒÆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO;POPRZEDNIO;TERAZ
+;FUP Ostrzeszów 1;Grabów nad Prosn¹;Henryka Sienkiewicza;12;Grabów nad Prosn¹;ostrzeszowski;wielkopolskie;;63-520
+;FUP Piekary Œl¹skie 1;Radzionków;œw. Wojciecha;39;Radzionków;tarnogórski;œl¹skie;;41-922
+;FUP Piekary Œl¹skie 1;Radzionków;Unii Europejskiej;1;Radzionków;tarnogórski;œl¹skie;;41-922
-;FUP Poznañ 29;Poznañ (Poznañ-Je¿yce);Literacka;45B;Poznañ;Poznañ;wielkopolskie;60-470;
-;FUP Poznañ 29;Poznañ (Poznañ-Je¿yce);Szarych Szeregów;12/13;Poznañ;Poznañ;wielkopolskie;60-470;
-;FUP Poznañ 29;skrytki/przegródki;;;Poznañ;Poznañ;wielkopolskie;60-946;
-;FUP Poznañ 29;skrytki/przegródki;;;Poznañ;Poznañ;wielkopolskie;60-993;
+;FUP Poznañ 60;Poznañ (Poznañ-Je¿yce);Literacka;45B;Poznañ;Poznañ;wielkopolskie;;60-470
+;FUP Poznañ 60;Poznañ (Poznañ-Je¿yce);Szarych Szeregów;12/13;Poznañ;Poznañ;wielkopolskie;;60-470
+;FUP Poznañ 60;skrytki/przegródki;;;Poznañ;Poznañ;wielkopolskie;;60-946
+;FUP Poznañ 60;skrytki/przegródki;;;Poznañ;Poznañ;wielkopolskie;;60-993
+;FUP Radomsko 1;Kamieñsk;Wieluñska;25;Kamieñsk;radomszczañski;³ódzkie;;97-361
+;FUP Radziejów;Topólka;;55a;Topólka;radziejowski;kujawsko-pomorskie;;87-876
-;FUP Radzionków 1;Radzionków;œw. Wojciecha;39;Radzionków;tarnogórski;œl¹skie;41-922;
-;FUP Radzionków 1;Radzionków;Unii Europejskiej;1;Radzionków;tarnogórski;œl¹skie;41-922;
+;FUP Rybnik 1;Rybnik;Grunwaldzka;46;Rybnik;Rybnik;œl¹skie;;44-210
+;FUP Rzepin;Cybinka;S³ubicka;22;Cybinka;s³ubicki;lubuskie;;69-107
+;FUP Sêpólno Krajeñskie;Runowo Krajeñskie;;81;Wiêcbork;sêpoleñski;kujawsko-pomorskie;;89-410
+;FUP Sêpólno Krajeñskie;Sypniewo;29 Stycznia;36a;Wiêcbork;sêpoleñski;kujawsko-pomorskie;;89-422
+;FUP Sêpólno Krajeñskie;Wiêcbork;Pocztowa;5;Wiêcbork;sêpoleñski;kujawsko-pomorskie;;89-410
+;FUP Siedlce 1;Siedlce;Armii Krajowej;13;Siedlce;Siedlce;mazowieckie;;08-134
+;FUP Siedlce 1;Siedlce;Boles³awa Chrobrego;17;Siedlce;Siedlce;mazowieckie;;08-119
+;FUP Siedlce 1;Siedlce;Brzeska;124;Siedlce;Siedlce;mazowieckie;;08-126
+;FUP Siedlce 1;Siedlce;Brzeska;135;Siedlce;Siedlce;mazowieckie;;08-102
+;FUP Siedlce 1;Siedlce;Graniczna;4A;Siedlce;Siedlce;mazowieckie;;08-133
+;FUP Siedlce 1;Siedlce;Józefa Pi³sudskiego;74/1/L.47;Siedlce;Siedlce;mazowieckie;;08-120
-;FUP Siedlce 2;Siedlce;Armii Krajowej;13;Siedlce;Siedlce;mazowieckie;08-110;
-;FUP Siedlce 2;Siedlce;Boles³awa Chrobrego;17;Siedlce;Siedlce;mazowieckie;08-119;
-;FUP Siedlce 2;Siedlce;Brzeska;124;Siedlce;Siedlce;mazowieckie;08-126;
-;FUP Siedlce 2;Siedlce;Brzeska;135;Siedlce;Siedlce;mazowieckie;08-102;
-;FUP Siedlce 2;Siedlce;Graniczna;4a;Siedlce;Siedlce;mazowieckie;08-133;
-;FUP Siedlce 2;Siedlce;Józefa Pi³sudskiego;74/1/L.47;Siedlce;Siedlce;mazowieckie;08-120;
+;FUP Sieradz 1;Sieradz;Jagielloñska;15;Sieradz;sieradzki;³ódzkie;;98-209
-;FUP Sieradz 1;Sieradz;Jana Paw³a II;28;Sieradz;sieradzki;³ódzkie;98-209;
+;FUP Skoczów;B¹ków;Wiosenna;6a;Strumieñ;cieszyñski;œl¹skie;;43-247
+;FUP Skoczów;Kiczyce;Pierœciecka;8;Skoczów;cieszyñski;œl¹skie;;43-434
+;FUP Strzelce Krajeñskie;Dobiegniew;Obroñców Pokoju;4;Dobiegniew;strzelecko-drezdenecki;lubuskie;;66-520
+;FUP Suchowola;Sztabin;Augustowska;60;Sztabin;augustowski;podlaskie;;16-310
+;FUP Swarzêdz 1;Kostrzyn;Dworcowa;11;Kostrzyn;poznañski;wielkopolskie;;62-025
+;FUP Œwidnica Œl¹ska 1;Moœcisko;Kolejowa;12b;Dzier¿oniów;dzier¿oniowski;dolnoœl¹skie;;58-116
