PNA;NAZWA JEDNOSTKI ORGANIZACYJNEJ;MIEJSCOWOŚĆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
70-661;Wydział Terenowy Transportu Szczecin;Szczecin;Gdańska;15a;Szczecin;Szczecin;zachodniopomorskie
70-900;Wydział Ekspedycyjno-Rozdzielczy w Szczecinie;Szczecin;Dworcowa;20 b;Szczecin;Szczecin;zachodniopomorskie
41-850;Region Dystrybucji Katowice;Zabrze;Macieja Mielżyńskiego;5;Zabrze;Zabrze;śląskie
43-302;Wydział Terenowy Transportu Bielsko-Biała;Bielsko-Biała;Legionów;47;Bielsko-Biała;Bielsko-Biała;śląskie
42-200;Wydział Terenowy Transportu Częstochowa;Częstochowa;Źródlana;6;Częstochowa;Częstochowa;śląskie
40-555;Wydział Terenowy Transportu Katowice;Katowice;Rolna;7;Katowice;Katowice;śląskie
45-125;Wydział Terenowy Transportu Opole;Opole;Składowa;2;Opole;Opole;opolskie
41-850;Wydział Ekspedycyjno-Rozdzielczy w Zabrzu;Zabrze;Macieja Mielżyńskiego;5;Zabrze;Zabrze;śląskie
41-850;Wydział Terenowy Transportu Zabrze;Zabrze;Macieja Mielżyńskiego;5;Zabrze;Zabrze;śląskie
43-302;Dział Ekspedycyjno-Rozdzielczy Bielsko-Biała;Bielsko-Biała;Legionów;47;Bielsko-Biała;Bielsko-Biała;śląskie
42-202;Dział Ekspedycyjno-Rozdzielczy Częstochowa;Częstochowa;Stanisława Orzechowskiego;7;Częstochowa;Częstochowa;śląskie
40-950;Dział Ekspedycyjno-Rozdzielczy Katowice;Katowice;Plac Oddziałów Młodzieży Powstańczej;6;Katowice;Katowice;śląskie
45-837;Dział Ekspedycyjno-Rozdzielczy Opole;Opole;Wspólna;1N;Opole;Opole;opolskie
30-900;Region Dystrybucji Kraków;Niepołomice;Wodna;4;Niepołomice;wielicki;małopolskie
38-200;Wydział Terenowy Transportu Jasło;Jasło;Towarowa;35;Jasło;jasielski;podkarpackie
31-553;Wydział Terenowy Transportu Kraków;Kraków;Cystersów;21;Kraków;Kraków;małopolskie
