PNA;NAZWA INSTYTUCJI;MIEJSCOWOŚĆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
43-350;Zakład Ubezpieczeń Społecznych Oddział w Bielsku-Białej;Bielsko-Biała;Zygmunta Krasińskiego;34;Bielsko-Biała;Bielsko-Biała;śląskie
41-530;Zakład Ubezpieczeń Społecznych Oddział w Chorzowie, Inspektorat w Katowicach;Chorzów;gen. Henryka Dąbrowskiego;45;Chorzów;Chorzów;śląskie
42-294;Zakład Ubezpieczeń Społecznych Oddział w Częstochowie;Częstochowa;gen. Jana Henryka Dąbrowskiego;43/45;Częstochowa;Częstochowa;śląskie
25-960;Zakład Ubezpieczeń Społecznych Oddział w Kielcach;Kielce;Piotrkowska;27;Kielce;Kielce;świętokrzyskie
75-840;Zakład Ubezpieczeń Społecznych Oddział w Koszalinie;Koszalin;Fałata Juliana;30;Koszalin;Koszalin;zachodniopomorskie
10-570;Zakład Ubezpieczeń Społecznych Oddział w Olsztynie;Olsztyn;Plac Konsulatu Polskiego;4;Olsztyn;Olsztyn;warmińsko-mazurskie
70-769;Zakład Ubezpieczeń Społecznych Oddział w Szczecinie;Szczecin;Andre Citroena;2;Szczecin;Szczecin;zachodniopomorskie
70-520;Zakład Ubezpieczeń Społecznych Oddział w Szczecinie;Szczecin;Jana Matejki;22;Szczecin;Szczecin;zachodniopomorskie
50-930;Zakład Ubezpieczeń Społecznych we Wrocławiu;Wrocław (Wrocław-Krzyki);Bernarda Pretficza;11;Wrocław;Wrocław;dolnośląskie
00-992;ZOMIS Sp. z o.o.;Warszawa (Praga-Północ);Jagiellońska;88;Warszawa;Warszawa;mazowieckie
35-075;ZUS;Rzeszów;al. Józefa Piłsudskiego;12;Rzeszów;Rzeszów;podkarpackie
